Node Number	X Location (m)	Y Location (m)	Z Location (m)	Directional Deformation (m)
830	-0.211	-2.5e-002	0.	0.
831	-0.209	-2.5e-002	0.	0.
832	-0.207	-2.5e-002	0.	0.
833	-0.205	-2.5e-002	0.	0.
834	-0.203	-2.5e-002	0.	0.
835	-0.201	-2.5e-002	0.	0.
836	-0.199	-2.5e-002	0.	0.
837	-0.197	-2.5e-002	0.	0.
838	-0.195	-2.5e-002	0.	0.
839	-0.193	-2.5e-002	0.	0.
840	-0.191	-2.5e-002	0.	0.
841	-0.189	-2.5e-002	0.	0.
842	-0.187	-2.5e-002	0.	0.
843	-0.185	-2.5e-002	0.	0.
844	-0.183	-2.5e-002	0.	0.
845	-0.181	-2.5e-002	0.	0.
846	-0.179	-2.5e-002	0.	0.
847	-0.177	-2.5e-002	0.	0.
848	-0.175	-2.5e-002	0.	0.
849	-0.173	-2.5e-002	0.	0.
850	-0.171	-2.5e-002	0.	0.
851	-0.169	-2.5e-002	0.	0.
852	-0.167	-2.5e-002	0.	0.
853	-0.165	-2.5e-002	0.	0.
854	-0.163	-2.5e-002	0.	0.
855	-0.161	-2.5e-002	0.	0.
856	-0.159	-2.5e-002	0.	0.
857	-0.157	-2.5e-002	0.	0.
858	-0.155	-2.5e-002	0.	0.
859	-0.153	-2.5e-002	0.	0.
860	-0.151	-2.5e-002	0.	0.
861	-0.149	-2.5e-002	0.	0.
862	-0.147	-2.5e-002	0.	0.
863	-0.145	-2.5e-002	0.	0.
864	-0.143	-2.5e-002	0.	0.
865	-0.141	-2.5e-002	0.	0.
866	-0.139	-2.5e-002	0.	0.
867	-0.137	-2.5e-002	0.	0.
868	-0.135	-2.5e-002	0.	0.
869	-0.133	-2.5e-002	0.	0.
870	-0.131	-2.5e-002	0.	0.
871	-0.129	-2.5e-002	0.	0.
872	-0.127	-2.5e-002	0.	0.
873	-0.125	-2.5e-002	0.	0.
874	-0.123	-2.5e-002	0.	0.
875	-0.121	-2.5e-002	0.	0.
876	-0.119	-2.5e-002	0.	0.
877	-0.117	-2.5e-002	0.	0.
878	-0.115	-2.5e-002	0.	0.
879	-0.113	-2.5e-002	0.	0.
880	-0.111	-2.5e-002	0.	0.
881	-0.109	-2.5e-002	0.	0.
882	-0.107	-2.5e-002	0.	0.
883	-0.105	-2.5e-002	0.	0.
884	-0.103	-2.5e-002	0.	0.
885	-0.101	-2.5e-002	0.	0.
886	-9.9e-002	-2.5e-002	0.	0.
887	-9.7e-002	-2.5e-002	0.	0.
888	-9.5e-002	-2.5e-002	0.	0.
889	-9.3e-002	-2.5e-002	0.	0.
890	-9.1e-002	-2.5e-002	0.	0.
891	-8.9e-002	-2.5e-002	0.	0.
892	-8.7e-002	-2.5e-002	0.	0.
893	-8.5e-002	-2.5e-002	0.	0.
894	-8.3e-002	-2.5e-002	0.	0.
895	-8.1e-002	-2.5e-002	0.	0.
896	-7.9e-002	-2.5e-002	0.	0.
897	-7.7e-002	-2.5e-002	0.	0.
898	-7.5e-002	-2.5e-002	0.	0.
899	-7.3e-002	-2.5e-002	0.	0.
900	-7.1e-002	-2.5e-002	0.	0.
901	-6.9e-002	-2.5e-002	0.	0.
902	-6.7e-002	-2.5e-002	0.	0.
903	-6.5e-002	-2.5e-002	0.	0.
904	-6.3e-002	-2.5e-002	0.	0.
905	-6.1e-002	-2.5e-002	0.	0.
906	-5.9e-002	-2.5e-002	0.	0.
907	-5.7e-002	-2.5e-002	0.	0.
908	-5.5e-002	-2.5e-002	0.	0.
909	-5.3e-002	-2.5e-002	0.	0.
910	-5.1e-002	-2.5e-002	0.	0.
911	-4.9e-002	-2.5e-002	0.	0.
912	-4.7e-002	-2.5e-002	0.	0.
913	-4.5e-002	-2.5e-002	0.	0.
914	-4.3e-002	-2.5e-002	0.	0.
915	-4.1e-002	-2.5e-002	0.	0.
916	-3.9e-002	-2.5e-002	0.	0.
917	-3.7e-002	-2.5e-002	0.	0.
918	-3.5e-002	-2.5e-002	0.	0.
919	-3.3e-002	-2.5e-002	0.	0.
920	-3.1e-002	-2.5e-002	0.	0.
921	-2.9e-002	-2.5e-002	0.	0.
922	-2.7e-002	-2.5e-002	0.	0.
923	-2.5e-002	-2.5e-002	0.	0.
924	-2.3e-002	-2.5e-002	0.	0.
925	-2.1e-002	-2.5e-002	0.	0.
926	-1.9e-002	-2.5e-002	0.	0.
927	-1.7e-002	-2.5e-002	0.	0.
928	-1.5e-002	-2.5e-002	0.	0.
929	-1.3e-002	-2.5e-002	0.	0.
