S (m)	X Coordinate (m)	Y Coordinate (m)	Z Coordinate (m)	Directional Deformation (m)
0.60896	0.18396	0.	0.	3.6084e-010
0.61318	0.18818	0.	0.	3.5451e-010
0.61741	0.19241	0.	0.	3.4819e-010
0.62164	0.19664	0.	0.	3.4186e-010
0.62587	0.20087	0.	0.	3.3554e-010
0.6301	0.2051	0.	0.	3.2921e-010
0.63433	0.20933	0.	0.	3.2289e-010
0.63856	0.21356	0.	0.	3.1656e-010
0.64279	0.21779	0.	0.	3.1024e-010
0.64701	0.22201	0.	0.	3.0391e-010
0.65124	0.22624	0.	0.	2.9759e-010
0.65547	0.23047	0.	0.	2.9126e-010
0.6597	0.2347	0.	0.	2.8494e-010
0.66393	0.23893	0.	0.	2.7861e-010
0.66816	0.24316	0.	0.	2.7229e-010
0.67239	0.24739	0.	0.	2.6596e-010
0.67662	0.25162	0.	0.	2.5964e-010
0.68085	0.25585	0.	0.	2.5331e-010
0.68507	0.26007	0.	0.	2.4699e-010
0.6893	0.2643	0.	0.	2.4066e-010
0.69353	0.26853	0.	0.	2.3434e-010
0.69776	0.27276	0.	0.	2.2801e-010
0.70199	0.27699	0.	0.	2.2169e-010
0.70622	0.28122	0.	0.	2.1536e-010
0.71045	0.28545	0.	0.	2.0904e-010
0.71468	0.28968	0.	0.	2.0271e-010
0.71891	0.29391	0.	0.	1.9639e-010
0.72313	0.29813	0.	0.	1.9006e-010
0.72736	0.30236	0.	0.	1.8374e-010
0.73159	0.30659	0.	0.	1.7741e-010
0.73582	0.31082	0.	0.	1.7109e-010
0.74005	0.31505	0.	0.	1.6476e-010
0.74428	0.31928	0.	0.	1.5844e-010
0.74851	0.32351	0.	0.	1.5211e-010
0.75274	0.32774	0.	0.	1.4579e-010
0.75697	0.33197	0.	0.	1.3946e-010
0.76119	0.33619	0.	0.	1.3314e-010
0.76542	0.34042	0.	0.	1.2681e-010
0.76965	0.34465	0.	0.	1.2049e-010
0.77388	0.34888	0.	0.	1.1416e-010
0.77811	0.35311	0.	0.	1.0784e-010
0.78234	0.35734	0.	0.	1.0151e-010
0.78657	0.36157	0.	0.	9.5185e-011
0.7908	0.3658	0.	0.	8.886e-011
0.79502	0.37002	0.	0.	8.2535e-011
0.79925	0.37425	0.	0.	7.621e-011
0.80348	0.37848	0.	0.	6.9884e-011
0.80771	0.38271	0.	0.	6.3559e-011
0.81194	0.38694	0.	0.	5.7234e-011
0.81617	0.39117	0.	0.	5.0909e-011
0.8204	0.3954	0.	0.	4.4584e-011
0.82463	0.39963	0.	0.	3.8259e-011
0.82886	0.40386	0.	0.	3.1934e-011
0.83308	0.40808	0.	0.	2.5609e-011
0.83731	0.41231	0.	0.	1.9284e-011
0.84154	0.41654	0.	0.	1.2958e-011
0.84577	0.42077	0.	0.	6.6333e-012
0.85	0.425	0.	0.	3.0817e-013
