Node Number	X Location (m)	Y Location (m)	Z Location (m)	Directional Deformation (m)
568	0.314	-6.e-003	0.	1.663e-010
569	0.313	-6.e-003	0.	1.678e-010
570	0.312	-6.e-003	0.	1.693e-010
571	0.311	-6.e-003	0.	1.7079e-010
572	0.31	-6.e-003	0.	1.7229e-010
573	0.309	-6.e-003	0.	1.7378e-010
574	0.308	-6.e-003	0.	1.7528e-010
575	0.307	-6.e-003	0.	1.7677e-010
576	0.306	-6.e-003	0.	1.7827e-010
577	0.305	-6.e-003	0.	1.7977e-010
578	0.304	-6.e-003	0.	1.8126e-010
579	0.303	-6.e-003	0.	1.8276e-010
580	0.302	-6.e-003	0.	1.8425e-010
581	0.301	-6.e-003	0.	1.8575e-010
582	0.3	-6.e-003	0.	1.8724e-010
583	0.299	-6.e-003	0.	1.8874e-010
584	0.298	-6.e-003	0.	1.9024e-010
585	0.297	-6.e-003	0.	1.9173e-010
586	0.296	-6.e-003	0.	1.9323e-010
587	0.295	-6.e-003	0.	1.9472e-010
588	0.294	-6.e-003	0.	1.9622e-010
589	0.293	-6.e-003	0.	1.9771e-010
590	0.292	-6.e-003	0.	1.9921e-010
591	0.291	-6.e-003	0.	2.0071e-010
592	0.29	-6.e-003	0.	2.022e-010
593	0.289	-6.e-003	0.	2.037e-010
594	0.288	-6.e-003	0.	2.0519e-010
595	0.287	-6.e-003	0.	2.0669e-010
596	0.286	-6.e-003	0.	2.0818e-010
597	0.285	-6.e-003	0.	2.0968e-010
598	0.284	-6.e-003	0.	2.1118e-010
599	0.283	-6.e-003	0.	2.1267e-010
600	0.282	-6.e-003	0.	2.1417e-010
601	0.281	-6.e-003	0.	2.1566e-010
602	0.28	-6.e-003	0.	2.1716e-010
603	0.279	-6.e-003	0.	2.1865e-010
604	0.278	-6.e-003	0.	2.2015e-010
605	0.277	-6.e-003	0.	2.2165e-010
606	0.276	-6.e-003	0.	2.2314e-010
607	0.275	-6.e-003	0.	2.2464e-010
608	0.274	-6.e-003	0.	2.2613e-010
609	0.273	-6.e-003	0.	2.2763e-010
610	0.272	-6.e-003	0.	2.2912e-010
611	0.271	-6.e-003	0.	2.3062e-010
612	0.27	-6.e-003	0.	2.3212e-010
613	0.269	-6.e-003	0.	2.3361e-010
614	0.268	-6.e-003	0.	2.3511e-010
615	0.267	-6.e-003	0.	2.366e-010
616	0.266	-6.e-003	0.	2.381e-010
617	0.265	-6.e-003	0.	2.3959e-010
618	0.264	-6.e-003	0.	2.4109e-010
619	0.263	-6.e-003	0.	2.4259e-010
620	0.262	-6.e-003	0.	2.4408e-010
