S (m)	X Coordinate (m)	Y Coordinate (m)	Z Coordinate (m)	Directional Deformation (m)
0.63433	0.20933	0.	0.	0.
0.63856	0.21356	0.	0.	0.
0.64279	0.21779	0.	0.	0.
0.64701	0.22201	0.	0.	0.
0.65124	0.22624	0.	0.	0.
0.65547	0.23047	0.	0.	0.
0.6597	0.2347	0.	0.	0.
0.66393	0.23893	0.	0.	0.
0.66816	0.24316	0.	0.	0.
0.67239	0.24739	0.	0.	0.
0.67662	0.25162	0.	0.	0.
0.68085	0.25585	0.	0.	0.
0.68507	0.26007	0.	0.	0.
0.6893	0.2643	0.	0.	0.
0.69353	0.26853	0.	0.	0.
0.69776	0.27276	0.	0.	0.
0.70199	0.27699	0.	0.	0.
0.70622	0.28122	0.	0.	0.
0.71045	0.28545	0.	0.	0.
0.71468	0.28968	0.	0.	0.
0.71891	0.29391	0.	0.	0.
0.72313	0.29813	0.	0.	0.
0.72736	0.30236	0.	0.	0.
0.73159	0.30659	0.	0.	0.
0.73582	0.31082	0.	0.	0.
0.74005	0.31505	0.	0.	0.
0.74428	0.31928	0.	0.	0.
0.74851	0.32351	0.	0.	0.
0.75274	0.32774	0.	0.	0.
0.75697	0.33197	0.	0.	0.
0.76119	0.33619	0.	0.	0.
0.76542	0.34042	0.	0.	0.
0.76965	0.34465	0.	0.	0.
0.77388	0.34888	0.	0.	0.
0.77811	0.35311	0.	0.	0.
0.78234	0.35734	0.	0.	0.
0.78657	0.36157	0.	0.	0.
0.7908	0.3658	0.	0.	0.
0.79502	0.37002	0.	0.	0.
0.79925	0.37425	0.	0.	0.
0.80348	0.37848	0.	0.	0.
0.80771	0.38271	0.	0.	0.
0.81194	0.38694	0.	0.	0.
0.81617	0.39117	0.	0.	0.
0.8204	0.3954	0.	0.	0.
0.82463	0.39963	0.	0.	0.
0.82886	0.40386	0.	0.	0.
0.83308	0.40808	0.	0.	0.
0.83731	0.41231	0.	0.	0.
0.84154	0.41654	0.	0.	0.
0.84577	0.42077	0.	0.	0.
0.85	0.425	0.	0.	0.
